"","ID","year","place","sowing","varietyID","variety","block","plot","ind","LeafDryWeight_g","ShootDryWeight_g","ShootFreshWeight_g","LeafFreshWeight_g","GrowthStage","NumberOfNodes","NumberOfTillers","PlantHeight_cm","TillerLength_cm"
"22",NA,2019,"Tottori","Jul",53,"GmJMC053","W1",6,2,15.22,32.76,115.86,40.98,5,6,8,45,18
"23",NA,2019,"Tottori","Jul",53,"GmJMC053","W1",6,3,NA,27.99,100.9,NA,5,6,9,46,21
"24",NA,2019,"Tottori","Jul",53,"GmJMC053","W1",6,4,NA,NA,NA,NA,NA,NA,NA,58,NA
"25",NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,1,NA,NA,NA,NA,NA,NA,NA,39,NA
"26",NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,2,12.38,29,94.9,32.43,6,5,10,35,15
"27",NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,3,NA,24.81,82.35,NA,5,7,11,32,17
"28",NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,4,NA,NA,NA,NA,NA,NA,NA,35,NA
"29",NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,1,NA,NA,NA,NA,NA,NA,NA,37,NA
"30",NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,2,27.41,54.23,193,85,5,6,8,40,24
"31",NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,3,NA,56.03,195.59,NA,5,9,12,49,23
"32",NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,4,NA,NA,NA,NA,NA,NA,NA,45,NA
"33",NA,2019,"Tottori","Jul",6,"GmWMC006","W1",9,1,NA,NA,NA,NA,NA,NA,NA,39,NA
"34",NA,2019,"Tottori","Jul",6,"GmWMC006","W1",9,2,11.38,43.92,169.34,36.7,6,8,9,39,19
"35",NA,2019,"Tottori","Jul",6,"GmWMC006","W1",9,3,NA,45.42,170.82,NA,6,5,9,35,19
"36",NA,2019,"Tottori","Jul",6,"GmWMC006","W1",9,4,NA,NA,NA,NA,NA,NA,NA,39,NA
"37",NA,2019,"Tottori","Jul",5,"GmJMC005","W1",10,1,NA,NA,NA,NA,NA,NA,NA,25,NA
"38",NA,2019,"Tottori","Jul",5,"GmJMC005","W1",10,2,15.86,45.05,180.47,45.58,6,5,8,34,14
"39",NA,2019,"Tottori","Jul",5,"GmJMC005","W1",10,3,NA,27.18,100.65,NA,6,5,6,31,11
"40",NA,2019,"Tottori","Jul",5,"GmJMC005","W1",10,4,NA,NA,NA,NA,NA,NA,NA,39,NA
"41",NA,2019,"Tottori","Jul",222,"C1322","W1",11,1,NA,NA,NA,NA,NA,NA,NA,51,NA
"42",NA,2019,"Tottori","Jul",222,"C1322","W1",11,2,27.86,54.84,190.43,85.18,5,8,8,53,16
"43",NA,2019,"Tottori","Jul",222,"C1322","W1",11,3,NA,54.15,189.48,NA,4,9,10,53,18
"44",NA,2019,"Tottori","Jul",222,"C1322","W1",11,4,NA,NA,NA,NA,NA,NA,NA,57,NA
"45",NA,2019,"Tottori","Jul",68,"GmJMC068","W1",12,1,NA,NA,NA,NA,NA,NA,NA,54,NA
"46",NA,2019,"Tottori","Jul",68,"GmJMC068","W1",12,2,25.64,49.38,197.72,91.18,4,11,13,57,21
"47",NA,2019,"Tottori","Jul",68,"GmJMC068","W1",12,3,NA,43.03,164.85,NA,3,6,11,61,18
"48",NA,2019,"Tottori","Jul",68,"GmJMC068","W1",12,4,NA,NA,NA,NA,NA,NA,NA,61,NA
"49",NA,2019,"Tottori","Jul",17,"GmJMC017","W1",13,1,NA,NA,NA,NA,NA,NA,NA,45,NA
"50",NA,2019,"Tottori","Jul",17,"GmJMC017","W1",13,2,16.93,33.71,130.12,57.6,5,5,10,44,19
"51",NA,2019,"Tottori","Jul",17,"GmJMC017","W1",13,3,NA,32.46,116.68,NA,4,6,11,46,21
"52",NA,2019,"Tottori","Jul",17,"GmJMC017","W1",13,4,NA,NA,NA,NA,NA,NA,NA,48,NA
"53",NA,2019,"Tottori","Jul",52,"GmJMC052","W1",14,1,NA,NA,NA,NA,NA,NA,NA,31,NA
"54",NA,2019,"Tottori","Jul",52,"GmJMC052","W1",14,2,9.03,31.8,114.97,29.53,6,5,9,40,17
"55",NA,2019,"Tottori","Jul",52,"GmJMC052","W1",14,3,NA,38.74,134.62,NA,6,4,9,37,23
"56",NA,2019,"Tottori","Jul",52,"GmJMC052","W1",14,4,NA,NA,NA,NA,NA,NA,NA,26,NA
"57",NA,2019,"Tottori","Jul",36,"GmWMC036","W1",15,1,NA,NA,NA,NA,NA,NA,NA,25,NA
"58",NA,2019,"Tottori","Jul",36,"GmWMC036","W1",15,2,3.95,16.4,56.73,13.4,6,4,9,26,11
"59",NA,2019,"Tottori","Jul",36,"GmWMC036","W1",15,3,NA,14.86,53.77,NA,6,5,9,27,11
"60",NA,2019,"Tottori","Jul",36,"GmWMC036","W1",15,4,NA,NA,NA,NA,NA,NA,NA,25,NA
"61",NA,2019,"Tottori","Jul",77,"GmJMC077","W1",16,1,NA,NA,NA,NA,NA,NA,NA,47,NA
"62",NA,2019,"Tottori","Jul",77,"GmJMC077","W1",16,2,31.87,62.4,231.21,101.5,5,6,12,47,23
"63",NA,2019,"Tottori","Jul",77,"GmJMC077","W1",16,3,17.85,35.27,128.3,54.3,5,5,9,59,24
"64",NA,2019,"Tottori","Jul",77,"GmJMC077","W1",16,4,NA,NA,NA,NA,NA,NA,NA,58,NA
"65",NA,2019,"Tottori","Jul",164,"GmWMC164","W1",17,1,NA,NA,NA,NA,NA,NA,NA,57,NA
"66",NA,2019,"Tottori","Jul",164,"GmWMC164","W1",17,2,34.73,68.54,262.32,121.63,4,10,16,76,47
"67",NA,2019,"Tottori","Jul",164,"GmWMC164","W1",17,3,31.41,63.36,252.22,115.22,3,9,19,72,53
"68",NA,2019,"Tottori","Jul",164,"GmWMC164","W1",17,4,NA,NA,NA,NA,NA,NA,NA,67,NA
"69",NA,2019,"Tottori","Jul",72,"GmWMC072","W1",18,1,NA,NA,NA,NA,NA,NA,NA,60,NA
"70",NA,2019,"Tottori","Jul",72,"GmWMC072","W1",18,2,31.62,58.89,204.82,102.52,4,11,12,62,39
"71",NA,2019,"Tottori","Jul",72,"GmWMC072","W1",18,3,NA,56.06,192.54,NA,4,12,13,55,35
"72",NA,2019,"Tottori","Jul",72,"GmWMC072","W1",18,4,NA,NA,NA,NA,NA,NA,NA,57,NA
"73",NA,2019,"Tottori","Jul",86,"GmWMC086","W1",19,1,NA,NA,NA,NA,NA,NA,NA,38,NA
"74",NA,2019,"Tottori","Jul",86,"GmWMC086","W1",19,2,10.28,30.51,99.49,18.92,6,3,10,41,26
"75",NA,2019,"Tottori","Jul",86,"GmWMC086","W1",19,3,NA,30.2,98.77,NA,6,3,11,37,18
"76",NA,2019,"Tottori","Jul",86,"GmWMC086","W1",19,4,NA,NA,NA,NA,NA,NA,NA,35,NA
"77",NA,2019,"Tottori","Jul",9,"GmJMC009","W1",20,1,NA,NA,NA,NA,NA,NA,NA,26,NA
"78",NA,2019,"Tottori","Jul",9,"GmJMC009","W1",20,2,7.81,27.05,99.05,22.73,6,5,9,31,12
"79",NA,2019,"Tottori","Jul",9,"GmJMC009","W1",20,3,NA,10.02,35.86,NA,6,5,9,23,9
"80",NA,2019,"Tottori","Jul",9,"GmJMC009","W1",20,4,NA,NA,NA,NA,NA,NA,NA,30,NA
"81",NA,2019,"Tottori","Jul",148,"GmWMC148","W1",21,1,NA,NA,NA,NA,NA,NA,NA,45,NA
"82",NA,2019,"Tottori","Jul",148,"GmWMC148","W1",21,2,19.28,34.53,164.22,81.46,2,6,10,52,29
"83",NA,2019,"Tottori","Jul",148,"GmWMC148","W1",21,3,NA,38.13,173.15,NA,1,11,13,63,32
"84",NA,2019,"Tottori","Jul",148,"GmWMC148","W1",21,4,NA,NA,NA,NA,NA,NA,NA,53,NA
"85",NA,2019,"Tottori","Jul",94,"GmWMC094","W1",22,1,NA,NA,NA,NA,NA,NA,NA,46,NA
"86",NA,2019,"Tottori","Jul",94,"GmWMC094","W1",22,2,19.01,35.25,135.45,66.45,5,8,12,58,24
"87",NA,2019,"Tottori","Jul",94,"GmWMC094","W1",22,3,NA,32.95,116.93,NA,4,7,11,50,23
"88",NA,2019,"Tottori","Jul",94,"GmWMC094","W1",22,4,NA,NA,NA,NA,NA,NA,NA,62,NA
"89",NA,2019,"Tottori","Jul",135,"GmWMC135","W1",23,1,47.4,103.11,415.74,170.31,3,7,15,83,56
"90",NA,2019,"Tottori","Jul",135,"GmWMC135","W1",23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,2019,"Tottori","Jul",135,"GmWMC135","W1",23,3,NA,79.08,305.13,NA,3,11,16,89,57
"92",NA,2019,"Tottori","Jul",135,"GmWMC135","W1",23,4,NA,NA,NA,NA,NA,NA,NA,90,NA
"93",NA,2019,"Tottori","Jul",25,"GmJMC025","W1",24,1,NA,NA,NA,NA,NA,NA,NA,47,NA
"94",NA,2019,"Tottori","Jul",25,"GmJMC025","W1",24,2,29.64,67.04,216.26,84.52,5,8,10,52,21
"95",NA,2019,"Tottori","Jul",25,"GmJMC025","W1",24,3,NA,48.95,157.37,NA,5,7,12,50,20
"96",NA,2019,"Tottori","Jul",25,"GmJMC025","W1",24,4,NA,NA,NA,NA,NA,NA,NA,49,NA
"97",NA,2019,"Tottori","Jul",61,"GmJMC061","W1",25,1,NA,NA,NA,NA,NA,NA,NA,48,NA
"98",NA,2019,"Tottori","Jul",61,"GmJMC061","W1",25,2,29.15,57.53,209.42,92.5,5,12,11,60,21
"99",NA,2019,"Tottori","Jul",61,"GmJMC061","W1",25,3,NA,46.69,172.05,NA,5,7,7,62,14
"100",NA,2019,"Tottori","Jul",61,"GmJMC061","W1",25,4,NA,NA,NA,NA,NA,NA,NA,64,NA
"101",NA,2019,"Tottori","Jul",133,"GmJMC133","W1",26,1,NA,NA,NA,NA,NA,NA,NA,67,NA
"102",NA,2019,"Tottori","Jul",133,"GmJMC133","W1",26,2,27.99,51.54,183.76,87.76,3,7,16,63,37
"103",NA,2019,"Tottori","Jul",133,"GmJMC133","W1",26,3,NA,72.96,266.59,NA,3,7,15,NA,40
"104",NA,2019,"Tottori","Jul",133,"GmJMC133","W1",26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,2019,"Tottori","Jul",111,"GmJMC111","W1",27,1,NA,NA,NA,NA,NA,NA,NA,40,NA
"106",NA,2019,"Tottori","Jul",111,"GmJMC111","W1",27,2,38.8,63.76,226.71,124.29,4,9,15,59,44
"107",NA,2019,"Tottori","Jul",111,"GmJMC111","W1",27,3,NA,70.82,263.57,NA,5,9,11,50,25
"108",NA,2019,"Tottori","Jul",111,"GmJMC111","W1",27,4,NA,NA,NA,NA,NA,NA,NA,47,NA
"109",NA,2019,"Tottori","Jul",138,"GmWMC138","W1",28,1,NA,NA,NA,NA,NA,NA,NA,47,NA
"110",NA,2019,"Tottori","Jul",138,"GmWMC138","W1",28,2,NA,42.58,184.87,NA,1,12,20,44,40
"111",NA,2019,"Tottori","Jul",138,"GmWMC138","W1",28,3,NA,42.14,182.67,NA,4,12,12,45,41
"112",NA,2019,"Tottori","Jul",138,"GmWMC138","W1",28,4,NA,NA,NA,NA,NA,NA,NA,45,NA
"113",NA,2019,"Tottori","Jul",34,"GmJMC034","W1",29,1,NA,NA,NA,NA,NA,NA,NA,38,NA
"114",NA,2019,"Tottori","Jul",34,"GmJMC034","W1",29,2,NA,61.1,220.63,NA,5,3,9,48,17
"115",NA,2019,"Tottori","Jul",34,"GmJMC034","W1",29,3,NA,59.02,209.07,NA,5,3,8,43,17
"116",NA,2019,"Tottori","Jul",34,"GmJMC034","W1",29,4,NA,NA,NA,NA,NA,NA,NA,43,NA
"117",NA,2019,"Tottori","Jul",84,"GmWMC084","W1",30,1,NA,NA,NA,NA,NA,NA,NA,39,NA
"118",NA,2019,"Tottori","Jul",84,"GmWMC084","W1",30,2,NA,42.39,152.46,NA,5,6,8,44,22
"119",NA,2019,"Tottori","Jul",84,"GmWMC084","W1",30,3,NA,28.42,97.91,NA,5,3,9,52,20
"120",NA,2019,"Tottori","Jul",84,"GmWMC084","W1",30,4,NA,NA,NA,NA,NA,NA,NA,41,NA
"121",NA,2019,"Tottori","Jul",24,"GmWMC024","W1",31,1,NA,NA,NA,NA,NA,NA,NA,47,NA
"122",NA,2019,"Tottori","Jul",24,"GmWMC024","W1",31,2,11.67,28.52,108.32,38.39,5,8,12,44,17
"123",NA,2019,"Tottori","Jul",24,"GmWMC024","W1",31,3,NA,62.24,228.68,NA,6,6,10,53,32
"124",NA,2019,"Tottori","Jul",24,"GmWMC024","W1",31,4,NA,NA,NA,NA,NA,NA,NA,43,NA
"125",NA,2019,"Tottori","Jul",49,"GmJMC049","W1",32,1,NA,NA,NA,NA,NA,NA,NA,43,NA
"126",NA,2019,"Tottori","Jul",49,"GmJMC049","W1",32,2,NA,42.24,143.93,NA,5,7,8,50,20
"127",NA,2019,"Tottori","Jul",49,"GmJMC049","W1",32,3,NA,25.59,96.18,NA,6,5,9,34,21
"128",NA,2019,"Tottori","Jul",49,"GmJMC049","W1",32,4,NA,NA,NA,NA,NA,NA,NA,45,NA
"129",NA,2019,"Tottori","Jul",165,"GmWMC165","W1",33,1,NA,NA,NA,NA,NA,NA,NA,62,NA
"130",NA,2019,"Tottori","Jul",165,"GmWMC165","W1",33,2,NA,70.01,243.67,96.56,3,13,16,68,89
"131",NA,2019,"Tottori","Jul",165,"GmWMC165","W1",33,3,NA,53.97,190.51,NA,3,9,15,70,75
"132",NA,2019,"Tottori","Jul",165,"GmWMC165","W1",33,4,NA,NA,NA,NA,NA,NA,NA,58,NA
"133",NA,2019,"Tottori","Jul",176,"GmWMC176","W1",34,1,NA,NA,NA,NA,NA,NA,NA,62,NA
"134",NA,2019,"Tottori","Jul",176,"GmWMC176","W1",34,2,24.3,48.76,236.14,100.2,1,11,17,64,47
"135",NA,2019,"Tottori","Jul",176,"GmWMC176","W1",34,3,NA,44.32,209.05,NA,1,11,16,75,54
"136",NA,2019,"Tottori","Jul",176,"GmWMC176","W1",34,4,NA,NA,NA,NA,NA,NA,NA,67,NA
"137",NA,2019,"Tottori","Jul",189,"GmWMC189","W1",35,1,NA,NA,NA,NA,NA,NA,NA,47,NA
"138",NA,2019,"Tottori","Jul",189,"GmWMC189","W1",35,2,24.67,42.26,164.68,83.09,1,11,15,50,40
"139",NA,2019,"Tottori","Jul",189,"GmWMC189","W1",35,3,NA,12.79,56.33,NA,1,4,11,46,30
"140",NA,2019,"Tottori","Jul",189,"GmWMC189","W1",35,4,NA,NA,NA,NA,NA,NA,NA,42,NA
"141",NA,2019,"Tottori","Jul",90,"GmJMC090","W1",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,2019,"Tottori","Jul",90,"GmJMC090","W1",36,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",NA,2019,"Tottori","Jul",90,"GmJMC090","W1",36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",NA,2019,"Tottori","Jul",90,"GmJMC090","W1",36,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",NA,2019,"Tottori","Jul",14,"GmWMC014","W1",37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",NA,2019,"Tottori","Jul",14,"GmWMC014","W1",37,2,32.53,80.67,322.31,98.83,6,8,11,39,24
"147",NA,2019,"Tottori","Jul",14,"GmWMC014","W1",37,3,NA,35.98,142.74,NA,5,5,10,39,34
"148",NA,2019,"Tottori","Jul",14,"GmWMC014","W1",37,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,2019,"Tottori","Jul",146,"GmWMC146","W1",38,1,NA,NA,NA,NA,NA,NA,NA,58,NA
"150",NA,2019,"Tottori","Jul",146,"GmWMC146","W1",38,2,28.87,57.11,225.33,86.46,3,8,16,73,42
"151",NA,2019,"Tottori","Jul",146,"GmWMC146","W1",38,3,NA,47.15,200.1,NA,3,10,17,65,49
"152",NA,2019,"Tottori","Jul",146,"GmWMC146","W1",38,4,NA,NA,NA,NA,NA,NA,NA,59,NA
"153",NA,2019,"Tottori","Jul",99,"GmJMC099","W1",39,1,NA,NA,NA,NA,NA,NA,NA,40,NA
"154",NA,2019,"Tottori","Jul",99,"GmJMC099","W1",39,2,19.7,36.45,141.26,68.38,3,10,13,42,25
"155",NA,2019,"Tottori","Jul",99,"GmJMC099","W1",39,3,NA,10.47,36.04,NA,4,4,7,37,16
"156",NA,2019,"Tottori","Jul",99,"GmJMC099","W1",39,4,NA,NA,NA,NA,NA,NA,NA,45,NA
"157",NA,2019,"Tottori","Jul",103,"GmWMC103","W1",40,1,NA,NA,NA,NA,NA,NA,NA,24,NA
"158",NA,2019,"Tottori","Jul",103,"GmWMC103","W1",40,2,6.55,25.33,100.15,22.33,5,0,16,43,30
"159",NA,2019,"Tottori","Jul",103,"GmWMC103","W1",40,3,NA,43.81,175.74,NA,6,3,17,42,34
"160",NA,2019,"Tottori","Jul",103,"GmWMC103","W1",40,4,NA,NA,NA,NA,NA,NA,NA,30,NA
"161",NA,2019,"Tottori","Jul",13,"GmJMC013","W1",41,1,NA,NA,NA,NA,NA,NA,NA,28,NA
"162",NA,2019,"Tottori","Jul",13,"GmJMC013","W1",41,2,5.35,17.55,61.51,15.69,6,4,9,27,14
"163",NA,2019,"Tottori","Jul",13,"GmJMC013","W1",41,3,NA,25.19,91.68,NA,6,3,8,28,16
"164",NA,2019,"Tottori","Jul",13,"GmJMC013","W1",41,4,NA,NA,NA,NA,NA,NA,NA,28,NA
"165",NA,2019,"Tottori","Jul",143,"GmWMC143","W1",42,1,NA,NA,NA,NA,NA,NA,NA,64,NA
"166",NA,2019,"Tottori","Jul",143,"GmWMC143","W1",42,2,21.92,41.83,170.17,80.12,3,13,17,66,44
"167",NA,2019,"Tottori","Jul",143,"GmWMC143","W1",42,3,NA,47.92,183.34,NA,3,9,14,60,26
"168",NA,2019,"Tottori","Jul",143,"GmWMC143","W1",42,4,NA,NA,NA,NA,NA,NA,NA,54,NA
"169",NA,2019,"Tottori","Jul",64,"GmJMC064","W1",43,1,NA,NA,NA,NA,NA,NA,NA,39,NA
"170",NA,2019,"Tottori","Jul",64,"GmJMC064","W1",43,2,6.54,13.73,48.41,17.9,5,5,10,NA,17
"171",NA,2019,"Tottori","Jul",64,"GmJMC064","W1",43,3,NA,38.01,150.79,NA,5,7,12,27,18
"172",NA,2019,"Tottori","Jul",64,"GmJMC064","W1",43,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,2019,"Tottori","Jul",175,"GmWMC175","W1",44,1,NA,NA,NA,NA,NA,NA,NA,57,NA
"174",NA,2019,"Tottori","Jul",175,"GmWMC175","W1",44,2,34.94,71.27,281.83,127.88,4,12,19,67,64
"175",NA,2019,"Tottori","Jul",175,"GmWMC175","W1",44,3,NA,78.61,278.66,NA,3,4,12,78,72
"176",NA,2019,"Tottori","Jul",175,"GmWMC175","W1",44,4,NA,NA,NA,NA,NA,NA,NA,73,NA
"177",NA,2019,"Tottori","Jul",141,"GmWMC141","W1",45,1,NA,NA,NA,NA,NA,NA,NA,64,NA
"178",NA,2019,"Tottori","Jul",141,"GmWMC141","W1",45,2,13.65,26.96,108.36,51.75,2,7,14,64,46
"179",NA,2019,"Tottori","Jul",141,"GmWMC141","W1",45,3,NA,41.77,180.2,NA,2,12,22,66,60
"180",NA,2019,"Tottori","Jul",141,"GmWMC141","W1",45,4,NA,NA,NA,NA,NA,NA,NA,63,NA
"181",NA,2019,"Tottori","Jul",51,"GmJMC051","W1",46,1,NA,NA,NA,NA,NA,NA,NA,50,NA
"182",NA,2019,"Tottori","Jul",51,"GmJMC051","W1",46,2,25.19,57.08,232.12,86.28,5,7,8,55,35
"183",NA,2019,"Tottori","Jul",51,"GmJMC051","W1",46,3,NA,51.58,203.94,NA,5,7,11,56,24
"184",NA,2019,"Tottori","Jul",51,"GmJMC051","W1",46,4,NA,NA,NA,NA,NA,NA,NA,48,NA
"185",NA,2019,"Tottori","Jul",159,"GmWMC159","W1",47,1,NA,NA,NA,NA,NA,NA,NA,49,NA
"186",NA,2019,"Tottori","Jul",159,"GmWMC159","W1",47,2,NA,31.98,139.89,NA,1,9,15,50,44
"187",NA,2019,"Tottori","Jul",159,"GmWMC159","W1",47,3,NA,40.94,174.28,NA,2,11,16,49,43
"188",NA,2019,"Tottori","Jul",159,"GmWMC159","W1",47,4,NA,NA,NA,NA,NA,NA,NA,40,NA
"189",NA,2019,"Tottori","Jul",101,"GmJMC101","W1",48,1,NA,NA,NA,NA,NA,NA,NA,67,NA
"190",NA,2019,"Tottori","Jul",101,"GmJMC101","W1",48,2,36.94,70.48,282.71,129.22,3,7,12,76,33
"191",NA,2019,"Tottori","Jul",101,"GmJMC101","W1",48,3,NA,80.13,324.15,NA,3,8,14,74,36
"192",NA,2019,"Tottori","Jul",101,"GmJMC101","W1",48,4,NA,NA,NA,NA,NA,NA,NA,73,NA
"193",NA,2019,"Tottori","Jul",225,"UA-4805","W1",49,1,NA,NA,NA,NA,NA,NA,NA,42,NA
"194",NA,2019,"Tottori","Jul",225,"UA-4805","W1",49,2,16.42,36.6,125.38,44.89,5,9,11,NA,21
"195",NA,2019,"Tottori","Jul",225,"UA-4805","W1",49,3,NA,40.93,150.98,NA,5,8,10,42,19
"196",NA,2019,"Tottori","Jul",225,"UA-4805","W1",49,4,NA,NA,NA,NA,NA,NA,NA,42,NA
"197",NA,2019,"Tottori","Jul",147,"GmWMC147","W1",50,1,NA,NA,NA,NA,NA,NA,NA,68,NA
"198",NA,2019,"Tottori","Jul",147,"GmWMC147","W1",50,2,38.45,82.61,342.21,144.49,3,7,18,70,57
"199",NA,2019,"Tottori","Jul",147,"GmWMC147","W1",50,3,NA,88,329.07,NA,3,8,15,74,53
"200",NA,2019,"Tottori","Jul",147,"GmWMC147","W1",50,4,NA,NA,NA,NA,NA,NA,NA,70,NA
"201",NA,2019,"Tottori","Jul",54,"GmJMC054","W1",51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,2019,"Tottori","Jul",54,"GmJMC054","W1",51,2,48.09,85.37,323.84,168.6,4,7,13,51,20
"203",NA,2019,"Tottori","Jul",54,"GmJMC054","W1",51,3,NA,76.78,265.88,NA,4,9,12,49,17
"204",NA,2019,"Tottori","Jul",54,"GmJMC054","W1",51,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,2019,"Tottori","Jul",125,"GmWMC125","W1",52,1,NA,NA,NA,NA,NA,NA,NA,64,NA
"206",NA,2019,"Tottori","Jul",125,"GmWMC125","W1",52,2,40.84,80.21,341.48,157.35,3,8,13,63,46
"207",NA,2019,"Tottori","Jul",125,"GmWMC125","W1",52,3,NA,93.79,380.93,NA,3,6,16,68,49
"208",NA,2019,"Tottori","Jul",125,"GmWMC125","W1",52,4,NA,NA,NA,NA,NA,NA,NA,62,NA
"209",NA,2019,"Tottori","Jul",155,"GmWMC155","W1",53,1,NA,NA,NA,NA,NA,NA,NA,50,NA
"210",NA,2019,"Tottori","Jul",155,"GmWMC155","W1",53,2,26.37,51.11,243.15,108.66,2,6,15,57,34
"211",NA,2019,"Tottori","Jul",155,"GmWMC155","W1",53,3,NA,46.55,217.42,NA,2,7,17,57,63
"212",NA,2019,"Tottori","Jul",155,"GmWMC155","W1",53,4,NA,NA,NA,NA,NA,NA,NA,53,NA
"213",NA,2019,"Tottori","Jul",108,"GmWMC108","W1",54,1,NA,NA,NA,NA,NA,NA,NA,44,NA
"214",NA,2019,"Tottori","Jul",108,"GmWMC108","W1",54,2,17.39,31.04,97.66,46.5,5,5,13,43,25
"215",NA,2019,"Tottori","Jul",108,"GmWMC108","W1",54,3,NA,16.9,56.86,NA,5,5,13,51,30
"216",NA,2019,"Tottori","Jul",108,"GmWMC108","W1",54,4,NA,NA,NA,NA,NA,NA,NA,52,NA
"217",NA,2019,"Tottori","Jul",56,"GmJMC056","W1",55,1,NA,NA,NA,NA,NA,NA,NA,38,NA
"218",NA,2019,"Tottori","Jul",56,"GmJMC056","W1",55,2,19.57,40.73,139.44,58.08,5,6,12,44,26
"219",NA,2019,"Tottori","Jul",56,"GmJMC056","W1",55,3,NA,26.03,90.58,NA,5,5,12,39,22
"220",NA,2019,"Tottori","Jul",56,"GmJMC056","W1",55,4,NA,NA,NA,NA,NA,NA,NA,46,NA
"221",NA,2019,"Tottori","Jul",166,"GmWMC166","W1",56,1,NA,NA,NA,NA,NA,NA,NA,59,NA
"222",NA,2019,"Tottori","Jul",166,"GmWMC166","W1",56,2,26.1,47.93,185.98,92.94,NA,NA,NA,60,NA
"223",NA,2019,"Tottori","Jul",166,"GmWMC166","W1",56,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
